Name,Subject,Type,Course Number,Theme,Designer,Lead Editor,Status,Minutes of Content,Number of Videos
Feelings and Emotions,English,Nova,1,1,Carrie Di,Gochapan Tanaryan,Published,12,4
Feelings and Emotions,English,Nova,2,1,Carrie Di,Gochapan Tanaryan,Published,12,4
Frequency Adverbs,English,Nova,3,1,Carrie Di,Gochapan Tanaryan,Published,10,4
Frequency Adverbs,English,Nova,4,1,Carrie Di,Gochapan Tanaryan,Published,5,3
Actions and Activities related to Feelings and Emotions (Ages 7-9),English,Nova,5,1,Carrie Di,Gochapan Tanaryan,Published,7,4
Actions and Activities related to Feelings and Emotions (Ages 8-10),English,Nova,6,1,Carrie Di,Gochapan Tanaryan,Published,7,3
Family Members and Relatives,English,Nova,7,1,Carrie Di,Gochapan Tanaryan,Published,8,4
Family Members and Relatives,English,Nova,8,1,Carrie Di,Gochapan Tanaryan,Published,6,3
Friends and Friendship,English,Nova,9,1,Carrie Di,Maxdemian Lee,Published,5,3
Friends and Friendship,English,Nova,10,1,Carrie Di,Maxdemian Lee,Published,6,3
Daily Routines,English,Nova,11,2,Carrie Di,Maxdemian Lee,Published,16,6
Daily Routines,English,Nova,12,2,Carrie Di,Maxdemian Lee,Published,18,6
"Time, Days, Months and Seasons",English,Nova,13,2,Carrie Di,Maxdemian Lee,Published,20,5
"Time, Days, Months and Seasons",English,Nova,14,2,Carrie Di,Maxdemian Lee,Published,19,4
School Subjects,English,Nova,15,2,Carrie Di,Maxdemian Lee,Published,16,5
School Subjects,English,Nova,16,2,Carrie Di,,Ready For Editing,,
"School Field Trip ",English,Nova,17,2,Carrie Di,Maxdemian Lee,Published,13,5
School Field Trip,English,Nova,18,2,Carrie Di,Maxdemian Lee,Published,18,6
School Events,English,Nova,19,2,Carrie Di,,Published,11,5
School Events,English,Nova,20,2,Carrie Di,Maxdemian Lee,Published,19,6
Food Categories Lvl 1-2,English,Nova,21,3,Carrie Di,,Ready For Editing,,
Food Categories Lvl 3-4,English,Nova,22,3,Carrie Di,,Ready For Editing,,
Buying Food Lvl 1-2,English,Nova,23,3,Carrie Di,,Ready For Editing,,
Buying Food Lvl 3-4,English,Nova,24,3,Carrie Di,,Scripts Complete,,
International Food Lvl 1-2,English,Nova,25,3,Carrie Di,,Scripts Complete,,
International Food Lvl 3-4,English,Nova,26,3,Carrie Di,,Scripts Complete,,
Inviting guests for a dinner,English,Nova,27,3,Carrie Di,,Ready For Scripts,,
Inviting guests for a dinner,English,Nova,28,3,Carrie Di,,Ready For Scripts,,
Eating in the restaurant,English,Nova,29,3,Carrie Di,,Ready For Scripts,,
Eating in the restaurant,English,Nova,30,3,Carrie Di,,Ready For Scripts,,
Leisure Activities,English,Nova,31,4,Carrie Di,,Ready For Scripts,,
Leisure Activities,English,Nova,32,4,Carrie Di,,Ready For Scripts,,
Mini Olympic,English,Nova,33,4,Carrie Di,,Ready For Scripts,,
Mini Olympic,English,Nova,34,4,Carrie Di,,Ready For Scripts,,
Arts,English,Nova,35,4,Carrie Di,,Ready For Scripts,,
Arts,English,Nova,36,4,Carrie Di,,Ready For Scripts,,
Going Out,English,Nova,37,4,Carrie Di,,Ready For Scripts,,
Going Out,English,Nova,38,4,Carrie Di,,Ready For Scripts,,
Goal Planning,English,Nova,39,4,Carrie Di,,Ready For Scripts,,
Goal Planning,English,Nova,40,4,Carrie Di,,Ready For Scripts,,
Places in the City,English,Nova,41,5,Carrie Di,,Ready For Scripts,,
Places in the City,English,Nova,42,5,Carrie Di,,Ready For Scripts,,
"Town, City, Province and Country",English,Nova,43,5,Carrie Di,,Ready For Scripts,,
"Town, City, Province and Country",English,Nova,44,5,Carrie Di,,Ready For Scripts,,
Physical Geography Features,English,Nova,45,5,Carrie Di,,Ready For Scripts,,
Physical Geography Features,English,Nova,46,5,Carrie Di,,Ready For Scripts,,
Reading a Map,English,Nova,47,5,Carrie Di,,Ready For Scripts,,
Reading a Map,English,Nova,48,5,Carrie Di,,Ready For Scripts,,
Tourism Attractions,English,Nova,49,5,Carrie Di,,Ready For Scripts,,
Tourism Attractions,English,Nova,50,5,Carrie Di,,Ready For Scripts,,
Habitat,English,Nova,51,6,Carrie Di,,Ready For Scripts,,
Habitat and Ecosystem,English,Nova,52,6,Carrie Di,,Ready For Scripts,,
Life Cycle,English,Nova,53,6,Carrie Di,,Ready For Scripts,,
Life Cycle,English,Nova,54,6,Carrie Di,,Ready For Scripts,,
Natural Disaster,English,Nova,55,6,Carrie Di,,Ready For Scripts,,
Natural Disaster,English,Nova,56,6,Carrie Di,,Ready For Scripts,,
"Reduce, Reuse, Recycle",English,Nova,57,6,Carrie Di,,Planning,,
"Reduce, Reuse, Recycle",English,Nova,58,6,Carrie Di,,Planning,,
Save the World,English,Nova,59,6,Carrie Di,,Planning,,
Save the World,English,Nova,60,6,Carrie Di,,Planning,,
Tech Use at school,English,Nova,61,7,Carrie Di,,Planning,,
The use of Computer and iPad at home,English,Nova,62,7,Carrie Di,,Planning,,
Internet Safety,English,Nova,63,7,Carrie Di,,Planning,,
Use Technology Wisely,English,Nova,64,7,Carrie Di,,Planning,,
Find your way in the worldwide website,English,Nova,65,7,Carrie Di,,Planning,,
Popular Social Networking Platforms,English,Nova,66,7,Carrie Di,,Planning,,
Digital Literacy,English,Nova,67,7,Carrie Di,,Planning,,
AI Technology,English,Nova,68,7,Carrie Di,,Planning,,
Our Environment,Science,Nova,1,1,BLESSY,Maxdemian Lee,Published,32,5
Plant Literacy,Science,Nova,2,1,BLESSY,"Maxdemian Lee, Gochapan Tanaryan",Published,40,6
Animal Universe,Science,Nova,3,1,BLESSY,Maxdemian Lee,Published,27,6
Eco-Communities,Science,Nova,4,1,BLESSY,Maxdemian Lee,Published,31,6
Curiosity Rocks!,Science,Nova,5,1,BLESSY,Maxdemian Lee,Published,30,6
Insects,Science,Nova,6,1,Diya,,Ready For Editing,,
Habitats,Science,Nova,7,1,Diya,,Planning,,
Food Chains and Food Webs,Science,Nova,8,1,Diya,,Ready For Editing,,
Balance of Nature,Science,Nova,9,1,Diya,,Planning,,
Endangered and Extinct Species,Science,Nova,10,1,Diya,,Planning,,
Scientific Process,Science,Nova,11,1,Diya,,Planning,,
States of Matter,Science,Nova,12,2,Diya,,Published,15,6
Materials and Mixtures,Science,Nova,13,2,Diya,Maxdemian Lee,Published,16,6
Pop & Boom,Science,Nova,14,2,"BLESSY, Diya",,Ready For Editing,,
Forces,Science,Nova,15,2,Diya,Maxdemian Lee,Published,16,6
